A	$0 a
AI	$0 ai
AN	$0 an
ANG	$0 ang
AO	$0 ao
BA	b a
BAI	b ai
BAN	b an
BANG	b ang
BAO	b ao
BEI	b ei
BEN	b en
BENG	b eng
BI	b i
BIAN	b ian
BIAO	b iao
BIE	b ie
BIN	b in
BING	b ing
BO	b o
BU	b u
CA	c a
CAI	c ai
CAN	c an
CANG	c ang
CAO	c ao
CE	c e
CEN	c en
CENG	c eng
CHA	ch a
CHAI	ch ai
CHAN	ch an
CHANG	ch ang
CHAO	ch ao
CHE	ch e
CHEN	ch en
CHENG	ch eng
CHI	ch i
CHONG	ch ong
CHOU	ch ou
CHU	ch u
CHUAI	ch uai
CHUAN	ch uan
CHUANG	ch uang
CHUI	ch ui
CHUN	ch un
CHUO	ch uo
CI	c i
CONG	c ong
COU	c ou
CU	c u
CUAN	c uan
CUI	c ui
CUN	c un
CUO	c uo
DA	d a
DAI	d ai
DAN	d an
DANG	d ang
DAO	d ao
DE	d e
DEI	d ei
DENG	d eng
DI	d i
DIA	d ia
DIAN	d ian
DIAO	d iao
DIE	d ie
DING	d ing
DIU	d iu
DONG	d ong
DOU	d ou
DU	d u
DUAN	d uan
DUI	d ui
DUN	d un
DUO	d uo
E	$0 e
EI	$0 ei
EN	$0 en
ER	$0 er
FA	f a
FAN	f an
FANG	f ang
FEI	f ei
FEN	f en
FENG	f eng
FO	f o
FOU	f ou
FU	f u
GA	g a
GAI	g ai
GAN	g an
GANG	g ang
GAO	g ao
GE	g e
GEI	g ei
GEN	g en
GENG	g eng
GONG	g ong
GOU	g ou
GU	g u
GUA	g ua
GUAI	g uai
GUAN	g uan
GUANG	g uang
GUI	g ui
GUN	g un
GUO	g uo
HA	h a
HAI	h ai
HAN	h an
HANG	h ang
HAO	h ao
HE	h e
HEI	h ei
HEN	h en
HENG	h eng
HONG	h ong
HOU	h ou
HU	h u
HUA	h ua
HUAI	h uai
HUAN	h uan
HUANG	h uang
HUI	h ui
HUN	h un
HUO	h uo
JI	j i
JIA	j ia
JIAN	j ian
JIANG	j iang
JIAO	j iao
JIE	j ie
JIN	j in
JING	j ing
JIONG	j iong
JIU	j iu
JU	j v
JUAN	j van
JUE	j ve
JUN	j vn
KA	k a
KAI	k ai
KAN	k an
KANG	k ang
KAO	k ao
KE	k e
KEI	k ei
KEN	k en
KENG	k eng
KIU	k iu
KONG	k ong
KOU	k ou
KU	k u
KUA	k ua
KUAI	k uai
KUAN	k uan
KUANG	k uang
KUI	k ui
KUN	k un
KUO	k uo
LA	l a
LAI	l ai
LAN	l an
LANG	l ang
LAO	l ao
LE	l e
LEI	l ei
LENG	l eng
LI	l i
LIA	l ia
LIAN	l ian
LIANG	l iang
LIAO	l iao
LIE	l ie
LIN	l in
LING	l ing
LIU	l iu
LONG	l ong
LOU	l ou
LU	l u
LUAN	l uan
LUN	l un
LUO	l uo
LV	l v
LVE	l ve
MA	m a
MAI	m ai
MAN	m an
MANG	m ang
MAO	m ao
ME	m e
MEI	m ei
MEN	m en
MENG	m eng
MI	m i
MIAN	m ian
MIAO	m iao
MIE	m ie
MIN	m in
MING	m ing
MIU	m iu
MO	m o
MOU	m ou
MU	m u
NA	n a
NAI	n ai
NAN	n an
NANG	n ang
NAO	n ao
NE	n e
NEI	n ei
NEN	n en
NENG	n eng
NI	n i
NIAN	n ian
NIANG	n iang
NIAO	n iao
NIE	n ie
NIN	n in
NING	n ing
NIU	n iu
NONG	n ong
NOU	n ou
NU	n u
NUAN	n uan
NUO	n uo
NV	n v
NVE	n ve
O	$0 o
OU	$0 ou
PA	p a
PAI	p ai
PAN	p an
PANG	p ang
PAO	p ao
PEI	p ei
PEN	p en
PENG	p eng
PI	p i
PIAN	p ian
PIAO	p iao
PIE	p ie
PIN	p in
PING	p ing
PO	p o
POU	p ou
PU	p u
QI	q i
QIA	q ia
QIAN	q ian
QIANG	q iang
QIAO	q iao
QIE	q ie
QIN	q in
QING	q ing
QIONG	q iong
QIU	q iu
QU	q v
QUAN	q van
QUE	q ve
QUN	q vn
RAN	r an
RANG	r ang
RAO	r ao
RE	r e
REN	r en
RENG	r eng
RI	r i
RONG	r ong
ROU	r ou
RU	r u
RUAN	r uan
RUI	r ui
RUN	r un
RUO	r uo
SA	s a
SAI	s ai
SAN	s an
SANG	s ang
SAO	s ao
SE	s e
SEI	s ei
SEN	s en
SENG	s eng
SHA	sh a
SHAI	sh ai
SHAN	sh an
SHANG	sh ang
SHAO	sh ao
SHE	sh e
SHEI	sh ei
SHEN	sh en
SHENG	sh eng
SHI	sh i
SHOU	sh ou
SHU	sh u
SHUA	sh ua
SHUAI	sh uai
SHUAN	sh uan
SHUANG	sh uang
SHUI	sh ui
SHUN	sh un
SHUO	sh uo
SI	s i
SONG	s ong
SOU	s ou
SU	s u
SUAN	s uan
SUI	s ui
SUN	s un
SUO	s uo
TA	t a
TAI	t ai
TAN	t an
TANG	t ang
TAO	t ao
TE	t e
TENG	t eng
TI	t i
TIAN	t ian
TIAO	t iao
TIE	t ie
TING	t ing
TONG	t ong
TOU	t ou
TU	t u
TUAN	t uan
TUI	t ui
TUN	t un
TUO	t uo
WA	w a
WAI	w ai
WAN	w an
WANG	w ang
WEI	w ei
WEN	w en
WENG	w eng
WO	w o
WU	w u
XI	x i
XIA	x ia
XIAN	x ian
XIANG	x iang
XIAO	x iao
XIE	x ie
XIN	x in
XING	x ing
XIONG	x iong
XIU	x iu
XU	x v
XUAN	x van
XUE	x ve
XUN	x vn
YA	y a
YAN	y an
YANG	y ang
YAO	y ao
YE	y e
YI	y i
YIN	y in
YING	y ing
YO	y o
YONG	y ong
YOU	y ou
YU	y v
YUAN	y van
YUE	y ve
YUN	y vn
ZA	z a
ZAI	z ai
ZAN	z an
ZANG	z ang
ZAO	z ao
ZE	z e
ZEI	z ei
ZEN	z en
ZENG	z eng
ZHA	zh a
ZHAI	zh ai
ZHAN	zh an
ZHANG	zh ang
ZHAO	zh ao
ZHE	zh e
ZHEI	zh ei
ZHEN	zh en
ZHENG	zh eng
ZHI	zh i
ZHONG	zh ong
ZHOU	zh ou
ZHU	zh u
ZHUA	zh ua
ZHUAI	zh uai
ZHUAN	zh uan
ZHUANG	zh uang
ZHUI	zh ui
ZHUN	zh un
ZHUO	zh uo
ZI	z i
ZONG	z ong
ZOU	z ou
ZU	z u
ZUAN	z uan
ZUI	z ui
ZUN	z un
ZUO	z uo
